Buffer Size,Elapsed Time (s),Total CPU Time (s),User CPU Time (s),System CPU Time (s)
btrfs,1,114.40035,109.6609,9.14855,100.51235
btrfs,2,55.21755,55.0702,4.6352,50.435
btrfs,4,27.6677,27.61575,2.30505,25.3107
btrfs,8,13.85145,13.77885,1.1404,12.63845
btrfs,16,7.06555,6.9373,0.5896,6.3477
btrfs,32,3.50145,3.49375,0.2848,3.20895
btrfs,64,1.79575,1.7883,0.1552,1.6331
btrfs,128,0.931,0.92335,0.0731,0.85025
btrfs,256,0.499,0.49135,0.0418,0.44955
btrfs,512,0.28385,0.27525,0.01785,0.2574
btrfs,1024,0.1763,0.1677,0.00815,0.15955
btrfs,4096,0.07855,0.06795,0.00275,0.0652
btrfs,16284,0.34135,0.0578,0.0013,0.0565
btrfs,65536,0.06995,0.05055,0.00025,0.0503
