File Size (MB),Buffer Size,Elapsed Time (s),Total CPU Time (s),User CPU Time (s),System CPU Time (s)
1,1,1.0038,0.99485,0.1148,0.88005
1,2,0.5682,0.56005,0.0607,0.49935
1,4,0.2556,0.2477,0.02595,0.22175
1,8,0.13985,0.1317,0.01525,0.11645
1,16,0.069,0.0611,0.00705,0.05405
1,32,0.04595,0.0379,0.00375,0.03415
1,64,0.02955,0.021,0.0016,0.0194
1,128,0.0194,0.01105,0.00085,0.0102
1,256,0.01605,0.00735,0.0015,0.00585
1,512,0.0148,0.006,0.001,0.005
1,1024,0.0148,0.00495,0.00085,0.0041
1,4096,0.0133,0.0046,0.00145,0.00315
1,16284,0.0132,0.0043,0.00275,0.00155
1,65536,0.013,0.0043,0.0014,0.0029
2,1,1.92085,1.91045,0.2209,1.68955
2,2,1.1396,1.1299,0.1231,1.0068
2,4,0.49165,0.4819,0.05495,0.42695
2,8,0.2757,0.26705,0.0279,0.23915
2,16,0.12905,0.11975,0.0155,0.10425
2,32,0.07705,0.06825,0.00515,0.0631
2,64,0.04655,0.03715,0.00375,0.0334
2,128,0.031,0.0217,0.001,0.0207
2,256,0.02405,0.01335,0.0017,0.01165
2,512,0.0205,0.0112,0,0.0112
2,1024,0.01835,0.0077,0.0017,0.006
2,4096,0.01995,0.0066,0.0011,0.0055
2,16284,0.0187,0.0056,0.00165,0.00395
2,65536,0.0182,0.0059,0.0005,0.0054
4,1,4.1585,4.1465,0.46445,3.68205
4,2,2.09085,2.08,0.23285,1.84715
4,4,1.0292,1.01785,0.11185,0.906
4,8,0.5204,0.50965,0.05655,0.4531
4,16,0.2623,0.25205,0.0255,0.22655
4,32,0.14625,0.13545,0.01345,0.122
4,64,0.09085,0.07765,0.00965,0.068
4,128,0.0573,0.04475,0.00385,0.0409
4,256,0.03885,0.02605,0.0019,0.02415
4,512,0.03045,0.01615,0.0013,0.01485
4,1024,0.0294,0.0139,0.00155,0.01235
4,4096,0.0273,0.0111,0.0006,0.0105
4,16284,0.02495,0.00945,0.00085,0.0086
4,65536,0.02465,0.0092,0.00045,0.00875
8,1,7.8147,7.79825,0.84965,6.9486
8,2,3.8316,3.81535,0.40115,3.4142
8,4,2.07665,2.06295,0.2232,1.83975
8,8,1.0674,1.0508,0.1178,0.933
8,16,0.5482,0.53305,0.05365,0.4794
8,32,0.2569,0.24345,0.0241,0.21935
8,64,0.1457,0.1308,0.01255,0.11825
8,128,0.0937,0.07875,0.0082,0.07055
8,256,0.07025,0.05065,0.004,0.04665
8,512,0.0482,0.031,0.0016,0.0294
8,1024,0.04345,0.02245,0.0015,0.02095
8,4096,0.0405,0.01785,0.00045,0.0174
8,16284,0.04005,0.0162,0.00005,0.01615
8,65536,0.0387,0.0163,0.00045,0.01585
16,1,15.1876,15.16505,1.6522,13.51285
16,2,8.06795,8.04515,0.891,7.15415
16,4,3.9361,3.9128,0.42185,3.49095
16,8,2.09075,2.06835,0.2316,1.83675
16,16,1.143,1.12175,0.1282,0.99355
16,32,0.58365,0.5616,0.0606,0.501
16,64,0.27865,0.25635,0.02655,0.2298
16,128,0.16315,0.1406,0.01225,0.12835
16,256,0.10895,0.0859,0.00455,0.08135
16,512,0.0839,0.05725,0.00325,0.054
16,1024,0.0727,0.0407,0.00095,0.03975
16,4096,0.06845,0.0346,0.00075,0.03385
16,16284,0.0695,0.0283,0.00005,0.02825
16,65536,0.06605,0.02915,0.0009,0.02825
32,1,31.31645,31.27935,3.3883,27.89105
32,2,16.7375,16.6973,1.85865,14.83865
32,4,7.5053,7.4679,0.8117,6.6562
32,8,4.1497,4.11515,0.42335,3.6918
32,16,2.07005,2.0344,0.21775,1.81665
32,32,1.26715,1.2285,0.1321,1.0964
32,64,0.5897,0.55385,0.05345,0.5004
32,128,0.33975,0.30155,0.0262,0.27535
32,256,0.23075,0.19045,0.0152,0.17525
32,512,0.1777,0.137,0.0101,0.1269
32,1024,0.13685,0.0815,0.00385,0.07765
32,4096,0.1184,0.0601,0.00255,0.05755
32,16284,0.1177,0.0519,0.0001,0.0518
32,65536,0.11085,0.04555,0.0004,0.04515
