Buffer Size,Elapsed Time (s),Total CPU Time (s),User CPU Time (s),System CPU Time (s)
1,90.06015000000000000000,90.03860000000000000000,10.47260000000000000000,79.56600000000000000000
2,45.17400000000000000000,44.44310000000000000000,5.10525000000000000000,39.33785000000000000000
4,22.54135000000000000000,22.34960000000000000000,2.59295000000000000000,19.75665000000000000000
8,11.67715000000000000000,11.49235000000000000000,1.31585000000000000000,10.17650000000000000000
16,5.80980000000000000000,5.63310000000000000000,.63470000000000000000,4.99840000000000000000
32,2.94160000000000000000,2.85550000000000000000,.32550000000000000000,2.53000000000000000000
64,1.54160000000000000000,1.46485000000000000000,.15670000000000000000,1.30815000000000000000
128,.88485000000000000000,.80560000000000000000,.08410000000000000000,.72150000000000000000
256,.52920000000000000000,.44355000000000000000,.04105000000000000000,.40250000000000000000
512,.34945000000000000000,.26605000000000000000,.02325000000000000000,.24280000000000000000
1024,.31085000000000000000,.20935000000000000000,.01595000000000000000,.19340000000000000000
4096,.29695000000000000000,.15305000000000000000,.00570000000000000000,.14735000000000000000
16284,.24125000000000000000,.09145000000000000000,.00100000000000000000,.09045000000000000000
65536,.21825000000000000000,.07160000000000000000,.00105000000000000000,.07055000000000000000
